the_geom,cartodb_id,code_rpa,description_rep,latitude,longitude
0101000020E610000096ED43DE726952C08849B89047C04640,55,RD-TT,Réel,45.502184,-73.647636
0101000020E6100000E8F692C6686252C0FD86890629CC4640,1,RD-TT,Réel,45.595002,-73.537645
0101000020E6100000CC0C1B65FD6252C00A664CC11AC54640,2,RD-TT,Enlevé,45.539879,-73.546716
0101000020E6100000B439CE6DC26552C04436902E36BB4640,3,RD-TT,Réel,45.462591,-73.589992
0101000020E61000004C88B9A46A6252C0DE3994A12ACC4640,4,RD-TT,Archive,45.595051,-73.537759
0101000020E61000009087BEBB956A52C0B6494563EDC74640,5,RD-TT,Réel,45.561932,-73.665389
0101000020E61000006FD39FFD486152C0EDF5EE8FF7CC4640,6,RD-TT,Réel,45.601305,-73.52008
0101000020E6100000BF4692205C6752C0E60297C79ABB4640,7,RD-TT,Réel,45.465661,-73.614998
0101000020E6100000278925E5EE6452C008CA6DFB1EBD4640,8,RD-TT,Réel,45.477508,-73.577081
0101000020E6100000B3EE1F0BD16352C08CBE823463C14640,9,RD-TT,Réel,45.51084,-73.559634
0101000020E6100000A5F622DA8E6952C04B21904B1CC94640,10,RD-TT,Enlevé,45.571176,-73.649344
0101000020E61000000B43E4F4F56452C05CAFE94141D34640,11,RD-TT,Réel,45.650429,-73.577512
0101000020E6100000D9B11188D76752C0A2D11DC4CEC64640,12,RD-TT,Réel,45.553185,-73.62253
0101000020E6100000DCD78173466552C0A52E19C748C64640,13,RD-TT,Réel,45.549096,-73.582425
0101000020E6100000698CD651D56652C08194D8B5BDC94640,68,RD-TT,Réel,45.576102,-73.60677
0101000020E610000011C30E63D26752C06BD5AE0969BF4640,14,RD-TT,Réel,45.495393,-73.622216
0101000020E6100000E466B8019F6D52C0A0C552245FC34640,15,RD-TT,Enlevé,45.526341,-73.71283
0101000020E61000004FAC53E57B6852C093399677D5BF4640,16,RD-TT,Enlevé,45.498702,-73.632562
0101000020E6100000EDF318E5996352C06E313F3734BD4640,17,RD-TT,Réel,45.478156,-73.556268
0101000020E6100000BC581822A76452C00F289B7285C34640,18,RD-TT,Réel,45.52751,-73.572701
0101000020E61000004F3FA88B146252C0BD8A8C0E48CE4640,19,RD-TT,Réel,45.611574,-73.532504
0101000020E61000003E25E7C41E6552C041295AB917C64640,20,RD-TT,Réel,45.547599,-73.580003
0101000020E61000002481069B3A6952C072E0D57267C44640,21,RD-TT,Réel,45.534407,-73.644202
0101000020E61000003B014D840D6152C0861DC6A4BFCD4640,22,RD-TT,Réel,45.607411,-73.51645
0101000020E610000043E73576896952C09C31CC09DABE4640,23,RD-TT,Réel,45.491029,-73.649015
0101000020E61000005CCAF962EF6452C050AA7D3A1EBD4640,24,RD-TT,Réel,45.477485,-73.577111
0101000020E610000084D558C2DA6452C08672A25D85C64640,25,RD-TT,Réel,45.550945,-73.575852
0101000020E61000001F49490F436452C036E50AEF72BD4640,26,RD-TT,Réel,45.48007,-73.566593
0101000020E6100000973B33C1706752C0BDA94885B1BB4640,27,RD-TT,Réel,45.466355,-73.616257
0101000020E61000006A847EA65E5F52C089EC832C0BD24640,28,RD-TT,Réel,45.640966,-73.490152
0101000020E610000030B8E68EFE6552C01327F73B14C34640,29,RD-TT,Réel,45.524055,-73.593662
0101000020E6100000FA9AE5B2D16252C070ED444948C64640,30,RD-TT,Réel,45.549081,-73.544049
0101000020E6100000DFFDF15EB56652C06C0723F609BC4640,31,RD-TT,Réel,45.469054,-73.60482
0101000020E6100000658D7A88466552C08C2D043928C34640,32,RD-TT,Archive,45.524665,-73.58243
0101000020E61000007F6B274A426A52C01FF5D72B2CC04640,33,RD-TT,Réel,45.501348,-73.660296
0101000020E6100000D6FF39CC976852C08388D4B48BBF4640,34,RD-TT,Réel,45.496451,-73.634265
0101000020E61000001E51A1BAB96552C0F6D1A92B9FD14640,35,RD-TT,Réel,45.63767,-73.589461
